Observation station,Year,Month,Day,Snow depth [cm],Date,Average temperature [Â°C],cloud_code,Global radiation mean [W/m2]
Sotkamo Kuolaniemi,2014,1,1,6.0,2014-01-01,0.5,8.0,"2,2"
Sotkamo Kuolaniemi,2014,1,2,5.0,2014-01-02,-0.1,8.0,"1,8"
Sotkamo Kuolaniemi,2014,1,3,5.0,2014-01-03,-3.0,8.0,"0,7"
Sotkamo Kuolaniemi,2014,1,4,4.0,2014-01-04,-2.0,8.0,"1,1"
Sotkamo Kuolaniemi,2014,1,5,4.0,2014-01-05,-0.9,8.0,"1,6"
Sotkamo Kuolaniemi,2014,1,6,4.0,2014-01-06,-0.8,8.0,"2,2"
Sotkamo Kuolaniemi,2014,1,7,6.0,2014-01-07,-0.4,8.0,"1,5"
Sotkamo Kuolaniemi,2014,1,8,6.0,2014-01-08,0.1,9.0,"2,3"
Sotkamo Kuolaniemi,2014,1,9,8.0,2014-01-09,-0.7,9.0,"3,2"
Sotkamo Kuolaniemi,2014,1,10,12.0,2014-01-10,-8.3,8.0,"1,9"
Sotkamo Kuolaniemi,2014,1,11,10.0,2014-01-11,-14.4,8.0,"5,6"
Sotkamo Kuolaniemi,2014,1,12,10.0,2014-01-12,-13.4,8.0,"4,4"
Sotkamo Kuolaniemi,2014,1,13,11.0,2014-01-13,-14.2,7.0,"6,7"
Sotkamo Kuolaniemi,2014,1,14,11.0,2014-01-14,-13.3,1.0,"7,6"
Sotkamo Kuolaniemi,2014,1,15,10.0,2014-01-15,-19.8,7.0,"8,4"
Sotkamo Kuolaniemi,2014,1,16,11.0,2014-01-16,-17.3,9.0,"5,3"
Sotkamo Kuolaniemi,2014,1,17,11.0,2014-01-17,-18.5,0.0,"8,9"
Sotkamo Kuolaniemi,2014,1,18,12.0,2014-01-18,-17.0,8.0,"5,9"
Sotkamo Kuolaniemi,2014,1,19,11.0,2014-01-19,-21.0,9.0,"7,5"
Sotkamo Kuolaniemi,2014,1,20,13.0,2014-01-20,-21.1,7.0,"6,9"
Sotkamo Kuolaniemi,2014,1,21,14.0,2014-01-21,-14.2,7.0,"11,4"
Sotkamo Kuolaniemi,2014,1,22,14.0,2014-01-22,-18.1,7.0,"13,1"
Sotkamo Kuolaniemi,2014,1,23,13.0,2014-01-23,-23.4,8.0,"15,6"
Sotkamo Kuolaniemi,2014,1,24,15.0,2014-01-24,-9.8,7.0,"7,1"
Sotkamo Kuolaniemi,2014,1,25,15.0,2014-01-25,-7.2,8.0,"7,1"
Sotkamo Kuolaniemi,2014,1,26,14.0,2014-01-26,-6.9,8.0,"7,1"
Sotkamo Kuolaniemi,2014,1,27,14.0,2014-01-27,-8.4,8.0,"15,8"
Sotkamo Kuolaniemi,2014,1,28,14.0,2014-01-28,-14.8,7.0,"19,4"
Sotkamo Kuolaniemi,2014,1,29,15.0,2014-01-29,-16.6,0.0,"22,5"
Sotkamo Kuolaniemi,2014,1,30,13.0,2014-01-30,-22.1,0.0,"31,4"
Sotkamo Kuolaniemi,2014,1,31,14.0,2014-01-31,-21.6,0.0,"37,6"
Sotkamo Kuolaniemi,2014,2,1,14.0,2014-02-01,-10.1,8.0,"9,1"
Sotkamo Kuolaniemi,2014,2,2,15.0,2014-02-02,-6.9,8.0,"7,7"
Sotkamo Kuolaniemi,2014,2,3,20.0,2014-02-03,-3.9,8.0,"10,5"
Sotkamo Kuolaniemi,2014,2,4,19.0,2014-02-04,-0.2,8.0,"10,5"
Sotkamo Kuolaniemi,2014,2,5,19.0,2014-02-05,-3.6,8.0,"12,9"
Sotkamo Kuolaniemi,2014,2,6,19.0,2014-02-06,-6.4,8.0,"7,3"
Sotkamo Kuolaniemi,2014,2,7,19.0,2014-02-07,-5.5,8.0,"6,8"
Sotkamo Kuolaniemi,2014,2,8,19.0,2014-02-08,-2.6,8.0,"9,1"
Sotkamo Kuolaniemi,2014,2,9,22.0,2014-02-09,0.5,8.0,"14,7"
Sotkamo Kuolaniemi,2014,2,10,21.0,2014-02-10,0.2,8.0,9
Sotkamo Kuolaniemi,2014,2,11,20.0,2014-02-11,0.2,8.0,"14,9"
Sotkamo Kuolaniemi,2014,2,12,23.0,2014-02-12,-0.4,8.0,"17,2"
Sotkamo Kuolaniemi,2014,2,13,23.0,2014-02-13,-0.4,8.0,"13,9"
Sotkamo Kuolaniemi,2014,2,14,23.0,2014-02-14,-1.1,8.0,"9,6"
Sotkamo Kuolaniemi,2014,2,15,23.0,2014-02-15,-1.4,8.0,"13,1"
Sotkamo Kuolaniemi,2014,2,16,22.0,2014-02-16,-1.2,8.0,"11,8"
Sotkamo Kuolaniemi,2014,2,17,23.0,2014-02-17,0.1,8.0,19
Sotkamo Kuolaniemi,2014,2,18,24.0,2014-02-18,-1.0,8.0,"19,4"
Sotkamo Kuolaniemi,2014,2,19,23.0,2014-02-19,-5.3,8.0,"24,3"
Sotkamo Kuolaniemi,2014,2,20,24.0,2014-02-20,-7.1,8.0,"24,3"
Sotkamo Kuolaniemi,2014,2,21,25.0,2014-02-21,-7.4,7.0,"24,5"
Sotkamo Kuolaniemi,2014,2,22,25.0,2014-02-22,-2.1,8.0,"18,2"
Sotkamo Kuolaniemi,2014,2,23,31.0,2014-02-23,1.1,7.0,"15,6"
Sotkamo Kuolaniemi,2014,2,24,22.0,2014-02-24,3.5,8.0,"16,5"
Sotkamo Kuolaniemi,2014,2,25,14.0,2014-02-25,3.0,7.0,"26,6"
Sotkamo Kuolaniemi,2014,2,26,12.0,2014-02-26,0.7,8.0,"62,2"
Sotkamo Kuolaniemi,2014,2,27,12.0,2014-02-27,-1.3,6.0,"12,5"
Sotkamo Kuolaniemi,2014,2,28,12.0,2014-02-28,-0.2,8.0,"11,8"
Sotkamo Kuolaniemi,2014,3,1,12.0,2014-03-01,-1.6,8.0,16
Sotkamo Kuolaniemi,2014,3,2,12.0,2014-03-02,-3.7,7.0,"34,1"
Sotkamo Kuolaniemi,2014,3,3,12.0,2014-03-03,-1.0,8.0,"19,9"
Sotkamo Kuolaniemi,2014,3,4,15.0,2014-03-04,-0.7,8.0,"14,1"
Sotkamo Kuolaniemi,2014,3,5,14.0,2014-03-05,0.0,8.0,"18,9"
Sotkamo Kuolaniemi,2014,3,6,13.0,2014-03-06,0.4,8.0,29
Sotkamo Kuolaniemi,2014,3,7,14.0,2014-03-07,1.3,8.0,"18,3"
Sotkamo Kuolaniemi,2014,3,8,11.0,2014-03-08,1.9,7.0,"37,8"
Sotkamo Kuolaniemi,2014,3,9,9.0,2014-03-09,2.1,0.0,"49,6"
Sotkamo Kuolaniemi,2014,3,10,8.0,2014-03-10,4.5,7.0,"80,6"
Sotkamo Kuolaniemi,2014,3,11,5.0,2014-03-11,2.7,7.0,98
Sotkamo Kuolaniemi,2014,3,12,-1.0,2014-03-12,4.4,7.0,"82,2"
Sotkamo Kuolaniemi,2014,3,13,-1.0,2014-03-13,3.3,0.0,"73,7"
Sotkamo Kuolaniemi,2014,3,14,-1.0,2014-03-14,2.0,0.0,"71,5"
Sotkamo Kuolaniemi,2014,3,15,-1.0,2014-03-15,-1.7,0.0,"97,4"
Sotkamo Kuolaniemi,2014,3,16,-1.0,2014-03-16,-5.5,7.0,"119,8"
Sotkamo Kuolaniemi,2014,3,17,-1.0,2014-03-17,-7.9,0.0,"125,5"
Sotkamo Kuolaniemi,2014,3,18,-1.0,2014-03-18,-8.3,1.0,"116,8"
Sotkamo Kuolaniemi,2014,3,19,2.0,2014-03-19,-5.6,8.0,"58,8"
Sotkamo Kuolaniemi,2014,3,20,7.0,2014-03-20,-6.0,8.0,"89,6"
Sotkamo Kuolaniemi,2014,3,21,7.0,2014-03-21,-1.7,8.0,"23,3"
Sotkamo Kuolaniemi,2014,3,22,3.0,2014-03-22,1.7,8.0,"140,5"
Sotkamo Kuolaniemi,2014,3,23,0.0,2014-03-23,1.4,3.0,"65,2"
Sotkamo Kuolaniemi,2014,3,24,2.0,2014-03-24,1.3,8.0,"72,1"
Sotkamo Kuolaniemi,2014,3,25,-1.0,2014-03-25,0.6,7.0,"147,4"
Sotkamo Kuolaniemi,2014,3,26,-1.0,2014-03-26,-0.3,0.0,"160,2"
Sotkamo Kuolaniemi,2014,3,27,-1.0,2014-03-27,1.6,0.0,"158,4"
Sotkamo Kuolaniemi,2014,3,28,-1.0,2014-03-28,0.3,0.0,137
Sotkamo Kuolaniemi,2014,3,29,-1.0,2014-03-29,3.0,7.0,139
Sotkamo Kuolaniemi,2014,3,30,-1.0,2014-03-30,-1.2,0.0,"151,2"
Sotkamo Kuolaniemi,2014,3,31,-1.0,2014-03-31,-2.8,5.0,"195,2"
Sotkamo Kuolaniemi,2014,4,1,-1.0,2014-04-01,-2.5,4.0,"160,6"
Sotkamo Kuolaniemi,2014,4,2,-1.0,2014-04-02,-1.6,0.0,"75,2"
Sotkamo Kuolaniemi,2014,4,3,-1.0,2014-04-03,-1.9,7.0,147
Sotkamo Kuolaniemi,2014,4,4,-1.0,2014-04-04,-2.7,7.0,"188,6"
Sotkamo Kuolaniemi,2014,4,5,-1.0,2014-04-05,-0.1,1.0,"95,2"
Sotkamo Kuolaniemi,2014,4,6,0.0,2014-04-06,-0.2,8.0,"158,6"
Sotkamo Kuolaniemi,2014,4,7,-1.0,2014-04-07,-2.2,0.0,"205,1"
Sotkamo Kuolaniemi,2014,4,8,-1.0,2014-04-08,-2.5,7.0,"205,7"
Sotkamo Kuolaniemi,2014,4,9,-1.0,2014-04-09,-4.3,0.0,"213,2"
Sotkamo Kuolaniemi,2014,4,10,-1.0,2014-04-10,-2.3,0.0,212
Sotkamo Kuolaniemi,2014,4,11,-1.0,2014-04-11,1.1,7.0,"61,8"
Sotkamo Kuolaniemi,2014,4,12,-1.0,2014-04-12,4.0,8.0,"126,3"
Sotkamo Kuolaniemi,2014,4,13,-1.0,2014-04-13,2.9,8.0,"51,8"
Sotkamo Kuolaniemi,2014,4,14,-1.0,2014-04-14,3.7,8.0,"54,4"
Sotkamo Kuolaniemi,2014,4,15,-1.0,2014-04-15,2.4,7.0,"86,7"
Sotkamo Kuolaniemi,2014,4,16,-1.0,2014-04-16,2.1,0.0,"232,3"
Sotkamo Kuolaniemi,2014,4,17,-1.0,2014-04-17,5.8,7.0,"116,3"
Sotkamo Kuolaniemi,2014,4,18,-1.0,2014-04-18,4.7,8.0,"80,3"
Sotkamo Kuolaniemi,2014,4,19,-1.0,2014-04-19,6.9,8.0,"166,3"
Sotkamo Kuolaniemi,2014,4,20,-1.0,2014-04-20,6.9,1.0,"224,7"
Sotkamo Kuolaniemi,2014,4,21,-1.0,2014-04-21,6.6,0.0,"162,8"
Sotkamo Kuolaniemi,2014,4,22,-1.0,2014-04-22,4.9,0.0,215
Sotkamo Kuolaniemi,2014,4,23,-1.0,2014-04-23,1.3,0.0,"221,6"
Sotkamo Kuolaniemi,2014,4,24,-1.0,2014-04-24,4.5,0.0,"243,9"
Sotkamo Kuolaniemi,2014,4,25,-1.0,2014-04-25,5.4,0.0,"249,3"
Sotkamo Kuolaniemi,2014,4,26,-1.0,2014-04-26,6.2,1.0,235
Sotkamo Kuolaniemi,2014,4,27,-1.0,2014-04-27,7.5,1.0,"203,5"
Sotkamo Kuolaniemi,2014,4,28,-1.0,2014-04-28,6.6,7.0,"165,2"
Sotkamo Kuolaniemi,2014,4,29,-1.0,2014-04-29,3.1,7.0,109
Sotkamo Kuolaniemi,2014,4,30,-1.0,2014-04-30,0.0,7.0,"102,3"
Sotkamo Kuolaniemi,2014,5,1,0.0,2014-05-01,0.5,8.0,"217,6"
Sotkamo Kuolaniemi,2014,5,2,-1.0,2014-05-02,1.8,1.0,"243,7"
Sotkamo Kuolaniemi,2014,5,3,-1.0,2014-05-03,0.9,0.0,"162,7"
Sotkamo Kuolaniemi,2014,5,4,-1.0,2014-05-04,1.2,0.0,"200,4"
Sotkamo Kuolaniemi,2014,5,5,-1.0,2014-05-05,2.0,6.0,"256,3"
Sotkamo Kuolaniemi,2014,5,6,-1.0,2014-05-06,0.7,0.0,"213,9"
Sotkamo Kuolaniemi,2014,5,7,-1.0,2014-05-07,0.7,0.0,"251,9"
Sotkamo Kuolaniemi,2014,5,8,-1.0,2014-05-08,3.9,0.0,"274,4"
Sotkamo Kuolaniemi,2014,5,9,-1.0,2014-05-09,4.3,7.0,"62,7"
Sotkamo Kuolaniemi,2014,5,10,-1.0,2014-05-10,7.3,8.0,"99,3"
Sotkamo Kuolaniemi,2014,5,11,-1.0,2014-05-11,6.1,2.0,"87,9"
Sotkamo Kuolaniemi,2014,5,12,-1.0,2014-05-12,7.6,8.0,"81,1"
Sotkamo Kuolaniemi,2014,5,13,-1.0,2014-05-13,8.2,8.0,"80,1"
Sotkamo Kuolaniemi,2014,5,14,0.0,2014-05-14,3.0,7.0,117
Sotkamo Kuolaniemi,2014,5,15,-1.0,2014-05-15,4.9,8.0,"291,9"
Sotkamo Kuolaniemi,2014,5,16,-1.0,2014-05-16,6.0,0.0,82
Sotkamo Kuolaniemi,2014,5,17,-1.0,2014-05-17,12.7,7.0,"286,8"
Sotkamo Kuolaniemi,2014,5,18,-1.0,2014-05-18,16.7,0.0,"271,6"
Sotkamo Kuolaniemi,2014,5,19,-1.0,2014-05-19,19.9,0.0,"294,2"
Sotkamo Kuolaniemi,2014,5,20,-1.0,2014-05-20,18.6,7.0,"266,8"
Sotkamo Kuolaniemi,2014,5,21,-1.0,2014-05-21,16.8,7.0,"244,5"
Sotkamo Kuolaniemi,2014,5,22,-1.0,2014-05-22,19.0,7.0,"274,7"
Sotkamo Kuolaniemi,2014,5,23,-1.0,2014-05-23,22.2,7.0,"272,5"
Sotkamo Kuolaniemi,2014,5,24,-1.0,2014-05-24,22.4,0.0,"239,2"
Sotkamo Kuolaniemi,2014,5,25,-1.0,2014-05-25,11.6,7.0,"86,5"
Sotkamo Kuolaniemi,2014,5,26,-1.0,2014-05-26,3.5,7.0,"44,3"
Sotkamo Kuolaniemi,2014,5,27,-1.0,2014-05-27,5.3,7.0,"161,9"
Sotkamo Kuolaniemi,2014,5,28,-1.0,2014-05-28,7.8,8.0,"298,1"
Sotkamo Kuolaniemi,2014,5,29,-1.0,2014-05-29,10.2,0.0,"130,3"
Sotkamo Kuolaniemi,2014,5,30,-1.0,2014-05-30,10.5,7.0,"34,5"
Sotkamo Kuolaniemi,2014,5,31,-1.0,2014-05-31,12.1,8.0,"139,7"
Sotkamo Kuolaniemi,2014,6,1,-1.0,2014-06-01,10.3,4.0,"145,4"
Sotkamo Kuolaniemi,2014,6,2,-1.0,2014-06-02,9.5,8.0,"141,6"
Sotkamo Kuolaniemi,2014,6,3,-1.0,2014-06-03,14.5,0.0,"347,6"
Sotkamo Kuolaniemi,2014,6,4,-1.0,2014-06-04,17.2,8.0,"180,8"
Sotkamo Kuolaniemi,2014,6,5,-1.0,2014-06-05,19.8,1.0,"233,4"
Sotkamo Kuolaniemi,2014,6,6,-1.0,2014-06-06,21.6,0.0,255
Sotkamo Kuolaniemi,2014,6,7,-1.0,2014-06-07,21.4,1.0,"276,1"
Sotkamo Kuolaniemi,2014,6,8,-1.0,2014-06-08,14.5,8.0,"74,4"
Sotkamo Kuolaniemi,2014,6,9,-1.0,2014-06-09,8.3,7.0,"69,9"
Sotkamo Kuolaniemi,2014,6,10,-1.0,2014-06-10,10.5,8.0,"259,5"
Sotkamo Kuolaniemi,2014,6,11,-1.0,2014-06-11,13.7,0.0,"270,6"
Sotkamo Kuolaniemi,2014,6,12,-1.0,2014-06-12,15.5,1.0,"245,2"
Sotkamo Kuolaniemi,2014,6,13,-1.0,2014-06-13,13.4,2.0,"201,8"
Sotkamo Kuolaniemi,2014,6,14,-1.0,2014-06-14,8.9,8.0,"248,9"
Sotkamo Kuolaniemi,2014,6,15,-1.0,2014-06-15,10.3,7.0,"250,3"
Sotkamo Kuolaniemi,2014,6,16,-1.0,2014-06-16,7.7,0.0,"164,5"
Sotkamo Kuolaniemi,2014,6,17,-1.0,2014-06-17,5.2,3.0,117
Sotkamo Kuolaniemi,2014,6,18,-1.0,2014-06-18,8.2,0.0,"223,4"
Sotkamo Kuolaniemi,2014,6,19,-1.0,2014-06-19,8.3,7.0,"192,4"
Sotkamo Kuolaniemi,2014,6,20,-1.0,2014-06-20,8.7,7.0,"315,1"
Sotkamo Kuolaniemi,2014,6,21,-1.0,2014-06-21,8.5,1.0,252
Sotkamo Kuolaniemi,2014,6,22,-1.0,2014-06-22,9.0,8.0,"161,3"
Sotkamo Kuolaniemi,2014,6,23,-1.0,2014-06-23,11.8,0.0,"291,2"
Sotkamo Kuolaniemi,2014,6,24,-1.0,2014-06-24,10.1,1.0,"188,8"
Sotkamo Kuolaniemi,2014,6,25,-1.0,2014-06-25,9.2,7.0,"351,8"
Sotkamo Kuolaniemi,2014,6,26,-1.0,2014-06-26,9.1,8.0,"169,6"
Sotkamo Kuolaniemi,2014,6,27,-1.0,2014-06-27,9.0,7.0,"184,7"
Sotkamo Kuolaniemi,2014,6,28,-1.0,2014-06-28,11.4,8.0,"260,7"
Sotkamo Kuolaniemi,2014,6,29,-1.0,2014-06-29,13.5,7.0,"323,1"
Sotkamo Kuolaniemi,2014,6,30,-1.0,2014-06-30,13.4,0.0,"185,8"
Sotkamo Kuolaniemi,2014,7,1,-1.0,2014-07-01,12.7,8.0,"91,6"
Sotkamo Kuolaniemi,2014,7,2,-1.0,2014-07-02,12.2,8.0,"71,9"
Sotkamo Kuolaniemi,2014,7,3,-1.0,2014-07-03,11.9,7.0,"118,2"
Sotkamo Kuolaniemi,2014,7,4,-1.0,2014-07-04,14.1,2.0,190
Sotkamo Kuolaniemi,2014,7,5,-1.0,2014-07-05,15.0,8.0,"262,2"
Sotkamo Kuolaniemi,2014,7,6,-1.0,2014-07-06,17.8,7.0,"324,7"
Sotkamo Kuolaniemi,2014,7,7,-1.0,2014-07-07,19.7,0.0,"295,8"
Sotkamo Kuolaniemi,2014,7,8,-1.0,2014-07-08,21.7,7.0,"239,2"
Sotkamo Kuolaniemi,2014,7,9,-1.0,2014-07-09,18.6,7.0,"216,5"
Sotkamo Kuolaniemi,2014,7,10,-1.0,2014-07-10,12.6,0.0,"337,7"
Sotkamo Kuolaniemi,2014,7,11,-1.0,2014-07-11,16.7,0.0,337
Sotkamo Kuolaniemi,2014,7,12,-1.0,2014-07-12,19.9,0.0,"323,2"
Sotkamo Kuolaniemi,2014,7,13,-1.0,2014-07-13,17.2,1.0,"146,8"
Sotkamo Kuolaniemi,2014,7,14,-1.0,2014-07-14,21.3,7.0,"278,8"
Sotkamo Kuolaniemi,2014,7,15,-1.0,2014-07-15,20.6,3.0,"220,3"
Sotkamo Kuolaniemi,2014,7,16,-1.0,2014-07-16,19.1,7.0,"226,2"
Sotkamo Kuolaniemi,2014,7,17,-1.0,2014-07-17,18.4,7.0,"216,3"
Sotkamo Kuolaniemi,2014,7,18,-1.0,2014-07-18,18.8,3.0,"239,1"
Sotkamo Kuolaniemi,2014,7,19,-1.0,2014-07-19,19.0,0.0,"220,9"
Sotkamo Kuolaniemi,2014,7,20,-1.0,2014-07-20,19.8,2.0,"253,3"
Sotkamo Kuolaniemi,2014,7,21,-1.0,2014-07-21,19.2,0.0,"297,2"
Sotkamo Kuolaniemi,2014,7,22,-1.0,2014-07-22,22.5,0.0,"259,8"
Sotkamo Kuolaniemi,2014,7,23,-1.0,2014-07-23,20.9,0.0,"223,5"
Sotkamo Kuolaniemi,2014,7,24,-1.0,2014-07-24,21.7,7.0,"265,6"
Sotkamo Kuolaniemi,2014,7,25,-1.0,2014-07-25,23.7,0.0,"299,7"
Sotkamo Kuolaniemi,2014,7,26,-1.0,2014-07-26,22.7,0.0,"265,2"
Sotkamo Kuolaniemi,2014,7,27,-1.0,2014-07-27,22.4,0.0,"245,4"
Sotkamo Kuolaniemi,2014,7,28,-1.0,2014-07-28,19.6,0.0,"211,7"
Sotkamo Kuolaniemi,2014,7,29,-1.0,2014-07-29,19.4,7.0,"241,2"
Sotkamo Kuolaniemi,2014,7,30,-1.0,2014-07-30,15.9,1.0,171
Sotkamo Kuolaniemi,2014,7,31,-1.0,2014-07-31,19.5,7.0,"141,3"
Sotkamo Kuolaniemi,2014,8,1,-1.0,2014-08-01,19.2,6.0,"236,7"
Sotkamo Kuolaniemi,2014,8,2,-1.0,2014-08-02,18.0,7.0,"243,8"
Sotkamo Kuolaniemi,2014,8,3,-1.0,2014-08-03,18.8,0.0,233
Sotkamo Kuolaniemi,2014,8,4,-1.0,2014-08-04,21.2,0.0,
Sotkamo Kuolaniemi,2014,8,5,-1.0,2014-08-05,21.0,0.0,
Sotkamo Kuolaniemi,2014,8,6,-1.0,2014-08-06,21.4,0.0,"269,8"
Sotkamo Kuolaniemi,2014,8,7,-1.0,2014-08-07,22.0,3.0,"262,7"
Sotkamo Kuolaniemi,2014,8,8,-1.0,2014-08-08,20.7,0.0,"151,2"
Sotkamo Kuolaniemi,2014,8,9,-1.0,2014-08-09,19.7,0.0,"187,4"
Sotkamo Kuolaniemi,2014,8,10,-1.0,2014-08-10,19.0,5.0,"172,5"
Sotkamo Kuolaniemi,2014,8,11,-1.0,2014-08-11,17.7,0.0,"160,4"
Sotkamo Kuolaniemi,2014,8,12,-1.0,2014-08-12,17.3,0.0,"71,1"
Sotkamo Kuolaniemi,2014,8,13,-1.0,2014-08-13,15.1,0.0,"202,1"
Sotkamo Kuolaniemi,2014,8,14,-1.0,2014-08-14,15.5,5.0,"192,1"
Sotkamo Kuolaniemi,2014,8,15,-1.0,2014-08-15,15.4,7.0,"163,7"
Sotkamo Kuolaniemi,2014,8,16,-1.0,2014-08-16,13.4,1.0,"164,3"
Sotkamo Kuolaniemi,2014,8,17,-1.0,2014-08-17,11.7,7.0,"189,1"
Sotkamo Kuolaniemi,2014,8,18,-1.0,2014-08-18,13.4,0.0,"145,9"
Sotkamo Kuolaniemi,2014,8,19,-1.0,2014-08-19,13.7,7.0,"62,1"
Sotkamo Kuolaniemi,2014,8,20,-1.0,2014-08-20,13.5,7.0,"142,1"
Sotkamo Kuolaniemi,2014,8,21,-1.0,2014-08-21,13.1,7.0,"128,1"
Sotkamo Kuolaniemi,2014,8,22,-1.0,2014-08-22,12.4,2.0,"89,3"
Sotkamo Kuolaniemi,2014,8,23,-1.0,2014-08-23,12.1,7.0,"115,7"
Sotkamo Kuolaniemi,2014,8,24,-1.0,2014-08-24,12.4,7.0,"91,3"
Sotkamo Kuolaniemi,2014,8,25,-1.0,2014-08-25,12.0,7.0,"76,2"
Sotkamo Kuolaniemi,2014,8,26,-1.0,2014-08-26,13.2,7.0,37
Sotkamo Kuolaniemi,2014,8,27,-1.0,2014-08-27,13.0,8.0,93
Sotkamo Kuolaniemi,2014,8,28,-1.0,2014-08-28,11.6,7.0,"77,8"
Sotkamo Kuolaniemi,2014,8,29,-1.0,2014-08-29,9.8,7.0,"88,9"
Sotkamo Kuolaniemi,2014,8,30,-1.0,2014-08-30,7.9,7.0,"91,3"
Sotkamo Kuolaniemi,2014,8,31,-1.0,2014-08-31,7.1,0.0,"137,3"
Sotkamo Kuolaniemi,2014,9,1,-1.0,2014-09-01,9.0,0.0,"108,1"
Sotkamo Kuolaniemi,2014,9,2,-1.0,2014-09-02,12.0,8.0,"103,7"
Sotkamo Kuolaniemi,2014,9,3,-1.0,2014-09-03,12.9,7.0,"125,6"
Sotkamo Kuolaniemi,2014,9,4,-1.0,2014-09-04,15.5,0.0,"110,5"
Sotkamo Kuolaniemi,2014,9,5,-1.0,2014-09-05,13.1,7.0,"147,9"
Sotkamo Kuolaniemi,2014,9,6,-1.0,2014-09-06,10.1,0.0,"74,6"
Sotkamo Kuolaniemi,2014,9,7,-1.0,2014-09-07,11.6,0.0,"143,2"
Sotkamo Kuolaniemi,2014,9,8,-1.0,2014-09-08,13.7,0.0,"153,8"
Sotkamo Kuolaniemi,2014,9,9,-1.0,2014-09-09,13.9,0.0,"142,1"
Sotkamo Kuolaniemi,2014,9,10,-1.0,2014-09-10,14.7,8.0,"146,3"
Sotkamo Kuolaniemi,2014,9,11,-1.0,2014-09-11,13.4,0.0,"120,3"
Sotkamo Kuolaniemi,2014,9,12,-1.0,2014-09-12,11.6,1.0,"49,1"
Sotkamo Kuolaniemi,2014,9,13,-1.0,2014-09-13,8.9,0.0,"151,9"
Sotkamo Kuolaniemi,2014,9,14,-1.0,2014-09-14,10.3,0.0,"108,7"
Sotkamo Kuolaniemi,2014,9,15,-1.0,2014-09-15,8.4,0.0,155
Sotkamo Kuolaniemi,2014,9,16,-1.0,2014-09-16,8.5,0.0,"150,5"
Sotkamo Kuolaniemi,2014,9,17,-1.0,2014-09-17,9.2,0.0,121
Sotkamo Kuolaniemi,2014,9,18,-1.0,2014-09-18,10.8,5.0,"34,2"
Sotkamo Kuolaniemi,2014,9,19,-1.0,2014-09-19,10.4,7.0,"94,3"
Sotkamo Kuolaniemi,2014,9,20,-1.0,2014-09-20,11.1,1.0,"82,4"
Sotkamo Kuolaniemi,2014,9,21,-1.0,2014-09-21,11.7,3.0,"87,8"
Sotkamo Kuolaniemi,2014,9,22,-1.0,2014-09-22,3.5,7.0,"71,5"
Sotkamo Kuolaniemi,2014,9,23,-1.0,2014-09-23,1.2,8.0,"30,8"
Sotkamo Kuolaniemi,2014,9,24,2.0,2014-09-24,0.5,8.0,22
Sotkamo Kuolaniemi,2014,9,25,5.0,2014-09-25,4.3,0.0,"50,7"
Sotkamo Kuolaniemi,2014,9,26,-1.0,2014-09-26,7.4,7.0,"31,1"
Sotkamo Kuolaniemi,2014,9,27,-1.0,2014-09-27,8.3,7.0,"57,8"
Sotkamo Kuolaniemi,2014,9,28,-1.0,2014-09-28,8.1,0.0,"102,5"
Sotkamo Kuolaniemi,2014,9,29,-1.0,2014-09-29,7.8,7.0,"78,1"
Sotkamo Kuolaniemi,2014,9,30,-1.0,2014-09-30,5.7,7.0,"36,5"
Sotkamo Kuolaniemi,2014,10,1,-1.0,2014-10-01,2.2,0.0,"104,8"
Sotkamo Kuolaniemi,2014,10,2,-1.0,2014-10-02,5.2,0.0,"22,7"
Sotkamo Kuolaniemi,2014,10,3,-1.0,2014-10-03,4.3,3.0,"95,5"
Sotkamo Kuolaniemi,2014,10,4,-1.0,2014-10-04,3.4,9.0,"89,6"
Sotkamo Kuolaniemi,2014,10,5,-1.0,2014-10-05,0.8,8.0,"47,3"
Sotkamo Kuolaniemi,2014,10,6,-1.0,2014-10-06,1.1,0.0,"22,3"
Sotkamo Kuolaniemi,2014,10,7,-1.0,2014-10-07,3.2,8.0,"18,9"
Sotkamo Kuolaniemi,2014,10,8,-1.0,2014-10-08,2.8,3.0,"46,3"
Sotkamo Kuolaniemi,2014,10,9,-1.0,2014-10-09,2.9,8.0,"6,1"
Sotkamo Kuolaniemi,2014,10,10,-1.0,2014-10-10,1.5,8.0,"9,8"
Sotkamo Kuolaniemi,2014,10,11,-1.0,2014-10-11,1.5,8.0,"16,7"
Sotkamo Kuolaniemi,2014,10,12,-1.0,2014-10-12,2.3,9.0,"15,4"
Sotkamo Kuolaniemi,2014,10,13,-1.0,2014-10-13,-0.1,8.0,"41,8"
Sotkamo Kuolaniemi,2014,10,14,-1.0,2014-10-14,0.0,7.0,"24,4"
Sotkamo Kuolaniemi,2014,10,15,-1.0,2014-10-15,-1.9,8.0,"72,7"
Sotkamo Kuolaniemi,2014,10,16,-1.0,2014-10-16,-3.0,0.0,"67,2"
Sotkamo Kuolaniemi,2014,10,17,-1.0,2014-10-17,-6.4,2.0,"61,7"
Sotkamo Kuolaniemi,2014,10,18,-1.0,2014-10-18,-3.7,0.0,41
Sotkamo Kuolaniemi,2014,10,19,-1.0,2014-10-19,0.5,8.0,"7,4"
Sotkamo Kuolaniemi,2014,10,20,0.0,2014-10-20,-0.4,8.0,"8,3"
